state,district,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20
California,13,2449,2453,2503,2554,2554,2637,2679,2773,2863,2969,3009,3049,3188,3188
California,14,2834,2888,2924,2981,3017,3023,3078,3160,3231,3294,3357,3436,3436,3516
California,15,2365,2373,2422,2475,2476,2558,2608,2703,2792,2892,2936,2980,3112,3127
California,16,2283,2399,2516,2688,2722,2722,2899,3054,3416,3630,3694,3783,3873,3873
California,17,1723,1755,1783,1825,1825,1899,1940,1995,2077,2156,2196,2273,2366,2406
California,18,1659,1701,1724,1764,1771,1825,1865,1916,1994,2061,2102,2194,2253,2304
California,19,1472,1514,1536,1574,1574,1644,1685,1726,1806,1876,1915,2005,2083,2136
California,20,1828,1898,1927,1950,1976,2082,2148,2211,2304,2390,2440,2605,2766,2856
California,21,4740,4894,5016,5148,5205,5257,5445,5507,5777,6008,6077,6155,6288,6403
California,22,3970,4132,4279,4455,4497,4497,4756,4958,5276,5557,5633,5727,5835,6105
California,23,3971,4038,4124,4224,4265,4371,4476,4626,4746,4912,5036,5055,5184,5356
California,24,2986,3088,3145,3276,3247,3248,3493,3539,3572,3972,3998,3998,3998,4068
California,25,5618,5699,5820,5935,6070,6234,6446,6646,6780,6928,6928,6930,7361,7532
California,26,1913,1997,2022,2065,2158,2231,2414,2574,2719,2843,2843,2843,2850,3315
California,27,6179,6262,6399,6532,6667,6842,7054,7263,7389,7540,7550,7551,8061,8173
California,28,6373,6454,6594,6724,6868,7050,7269,7477,7608,7761,7762,7763,8282,8393
California,29,6373,6454,6594,6724,6868,7050,7269,7477,7608,7761,7762,7763,8282,8393
California,30,6288,6369,6507,6636,6777,6957,7173,7379,7508,7659,7660,7662,8173,8284
California,31,3453,3590,3715,3895,3895,3968,4070,4330,4397,4537,4718,4718,5148,5294
California,32,6373,6454,6594,6724,6868,7050,7269,7477,7608,7761,7762,7763,8282,8393
California,33,6373,6454,6594,6724,6868,7050,7269,7477,7608,7761,7762,7763,8282,8393
California,34,6373,6454,6594,6724,6868,7050,7269,7477,7608,7761,7762,7763,8282,8393
California,35,4051,4175,4303,4472,4502,4597,4723,4972,5052,5194,5337,5337,5784,5923
California,36,4632,4785,4861,5021,5021,5021,5340,5552,5791,6009,6243,6243,6243,6598
